name,company,mass,thrust_SL,thrust_Vac,throttle,Isp_SL,Isp_Vac,fuel_consumption,burn_time
RS-25,Aerojet Rocketdyne,3.527,1860,2279,0.8,366,452.3,,
BE-4,Blue Origin,,2400,,,,,,
BE-3PM ,Blue Origin,,490,,0.18,310,,,
BE-3U,Blue Origin,,,710,,,,,
LV-T30,Kerbal,1.25,205.16,240,0,265,310,15.79,
LV-T45 ,Kerbal,1.5,167.97,215,0,250,320,13.7,
48-7S,Kerbal,0.1,16.88,20,0,270,320,1.27,
Merlin1D,SpaceX,0.47,845,914,0.7,282,311,,162
Kestrel2,SpaceX,0.052,,31,1,,317,,418
RD-180,NPO Energomash,5.48,3830,4150,0.47,311,338,,270
Rutherford,Rocket Lab,0.035,25,26,,311,343,,